engineManufacturerId,constructorId,position,points
honda-rbpt,red-bull,1,195
ferrari,ferrari,2,151
mercedes,mclaren,3,96
mercedes,mercedes,4,52
mercedes,aston-martin,5,40
honda-rbpt,rb,6,7
ferrari,haas,7,5
mercedes,williams,8,0
renault,alpine,9,0
ferrari,kick-sauber,10,0
