constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
mclaren,mercedes,26.4,lando-norris,1,pirelli,4
mercedes,mercedes,13.9,lewis-hamilton,2,pirelli,44
aston-martin,mercedes,13.6,fernando-alonso,3,pirelli,14
ferrari,ferrari,9,charles-leclerc,4,pirelli,16
red-bull,honda-rbpt,6.3,max-verstappen,5,pirelli,1
