driverId,position,points
lewis-hamilton,1,63
valtteri-bottas,2,58
max-verstappen,3,33
lando-norris,4,26
alexander-albon,5,22
sergio-perez,6,22
charles-leclerc,7,18
lance-stroll,8,18
carlos-sainz-jr,9,15
sebastian-vettel,10,9
daniel-ricciardo,11,8
pierre-gasly,12,6
esteban-ocon,13,4
antonio-giovinazzi,14,2
daniil-kvyat,15,1
kevin-magnussen,16,1
kimi-raikkonen,17,0
nicholas-latifi,18,0
romain-grosjean,19,0
george-russell,20,0
