time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:11.674,haas,ferrari,,kevin-magnussen,1,pirelli,20
1:11.877,red-bull,rbpt,,max-verstappen,2,pirelli,1
1:12.059,mercedes,mercedes,,george-russell,3,pirelli,63
1:12.263,mclaren,mercedes,,lando-norris,4,pirelli,4
1:12.357,ferrari,ferrari,,carlos-sainz-jr,5,pirelli,55
1:12.425,alpine,renault,,esteban-ocon,6,pirelli,31
1:12.504,alpine,renault,,fernando-alonso,7,pirelli,14
1:12.611,mercedes,mercedes,,lewis-hamilton,8,pirelli,44
1:15.601,red-bull,rbpt,,sergio-perez,9,pirelli,11
,ferrari,ferrari,,charles-leclerc,10,pirelli,16
1:11.631,williams,mercedes,,alexander-albon,11,pirelli,23
1:11.675,alphatauri,rbpt,,pierre-gasly,12,pirelli,10
1:11.678,aston-martin,mercedes,,sebastian-vettel,13,pirelli,5
1:12.140,mclaren,mercedes,,daniel-ricciardo,14,pirelli,3
1:12.210,aston-martin,mercedes,,lance-stroll,15,pirelli,18
1:15.095,williams,mercedes,,nicholas-latifi,16,pirelli,6
1:15.197,alfa-romeo,ferrari,,guanyu-zhou,17,pirelli,24
1:15.486,alfa-romeo,ferrari,,valtteri-bottas,18,pirelli,77
1:16.264,alphatauri,rbpt,,yuki-tsunoda,19,pirelli,22
1:16.361,haas,ferrari,,mick-schumacher,20,pirelli,47
