time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:44.481,red-bull,honda,,,max-verstappen,1,pirelli,44,33
1:44.687,red-bull,honda,+0.206,+0.206,sergio-perez,2,pirelli,45,11
1:44.769,mercedes,mercedes,+0.082,+0.288,lewis-hamilton,3,pirelli,43,44
1:44.890,aston-martin,mercedes,+0.121,+0.409,sebastian-vettel,4,pirelli,41,5
1:44.939,alphatauri,honda,+0.049,+0.458,yuki-tsunoda,5,pirelli,46,22
1:45.220,alphatauri,honda,+0.281,+0.739,pierre-gasly,6,pirelli,44,10
1:45.326,mclaren,mercedes,+0.106,+0.845,lando-norris,7,pirelli,41,4
1:45.382,ferrari,ferrari,+0.056,+0.901,charles-leclerc,8,pirelli,46,16
1:45.575,alfa-romeo,ferrari,+0.193,+1.094,antonio-giovinazzi,9,pirelli,44,99
1:45.601,alfa-romeo,ferrari,+0.026,+1.120,kimi-raikkonen,10,pirelli,43,7
1:45.624,alpine,renault,+0.023,+1.143,fernando-alonso,11,pirelli,42,14
1:45.665,mercedes,mercedes,+0.041,+1.184,valtteri-bottas,12,pirelli,43,77
1:45.700,ferrari,ferrari,+0.035,+1.219,carlos-sainz-jr,13,pirelli,42,55
1:45.713,mclaren,mercedes,+0.013,+1.232,daniel-ricciardo,14,pirelli,43,3
1:45.959,williams,mercedes,+0.246,+1.478,george-russell,15,pirelli,43,63
1:46.207,aston-martin,mercedes,+0.248,+1.726,lance-stroll,16,pirelli,28,18
1:46.608,williams,mercedes,+0.401,+2.127,nicholas-latifi,17,pirelli,42,6
1:47.624,haas,ferrari,+1.016,+3.143,mick-schumacher,18,pirelli,41,47
1:47.747,haas,ferrari,+0.123,+3.266,nikita-mazepin,19,pirelli,40,9
1:50.850,alpine,renault,+3.103,+6.369,esteban-ocon,20,pirelli,2,31
