driverId,position,points
max-verstappen,1,105
lewis-hamilton,2,101
sergio-perez,3,69
lando-norris,4,66
charles-leclerc,5,52
valtteri-bottas,6,47
carlos-sainz-jr,7,42
pierre-gasly,8,31
sebastian-vettel,9,28
daniel-ricciardo,10,26
fernando-alonso,11,13
esteban-ocon,12,12
lance-stroll,13,9
yuki-tsunoda,14,8
kimi-raikkonen,15,1
antonio-giovinazzi,16,1
mick-schumacher,17,0
george-russell,18,0
nikita-mazepin,19,0
nicholas-latifi,20,0
