engineManufacturerId,constructorId,position,points
mercedes,mercedes,1,362.5
honda,red-bull,2,344.5
mercedes,mclaren,3,215
ferrari,ferrari,4,201.5
renault,alpine,5,95
honda,alphatauri,6,84
mercedes,aston-martin,7,59
mercedes,williams,8,22
ferrari,alfa-romeo,9,3
ferrari,haas,10,0
