time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:14.127,red-bull,rbpt,,,33,max-verstappen,1,pirelli,1
1:14.208,ferrari,ferrari,+0.081,+0.081,32,charles-leclerc,2,pirelli,16
1:14.352,ferrari,ferrari,+0.144,+0.225,32,carlos-sainz-jr,3,pirelli,55
1:14.442,aston-martin,mercedes,+0.090,+0.315,35,sebastian-vettel,4,pirelli,5
1:14.543,alpine,renault,+0.101,+0.416,24,fernando-alonso,5,pirelli,14
1:14.879,alphatauri,rbpt,+0.336,+0.752,34,pierre-gasly,6,pirelli,10
1:14.971,mercedes,mercedes,+0.092,+0.844,31,george-russell,7,pirelli,63
1:14.987,mclaren,mercedes,+0.016,+0.860,30,lando-norris,8,pirelli,4
1:15.033,mclaren,mercedes,+0.046,+0.906,31,daniel-ricciardo,9,pirelli,3
1:15.119,alpine,renault,+0.086,+0.992,32,esteban-ocon,10,pirelli,31
1:15.167,red-bull,rbpt,+0.048,+1.040,29,sergio-perez,11,pirelli,11
1:15.396,aston-martin,mercedes,+0.229,+1.269,34,lance-stroll,12,pirelli,18
1:15.421,mercedes,mercedes,+0.025,+1.294,25,lewis-hamilton,13,pirelli,44
1:15.499,haas,ferrari,+0.078,+1.372,34,kevin-magnussen,14,pirelli,20
1:15.516,haas,ferrari,+0.017,+1.389,35,mick-schumacher,15,pirelli,47
1:15.526,alfa-romeo,ferrari,+0.010,+1.399,31,guanyu-zhou,16,pirelli,24
1:15.567,alphatauri,rbpt,+0.041,+1.440,37,yuki-tsunoda,17,pirelli,22
1:16.171,williams,mercedes,+0.604,+2.044,30,alexander-albon,18,pirelli,23
1:16.509,williams,mercedes,+0.338,+2.382,27,nicholas-latifi,19,pirelli,6
,alfa-romeo,ferrari,,,3,valtteri-bottas,20,pirelli,77
