q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:21.280,ferrari,1:21.208,ferrari,,,1:20.161,charles-leclerc,14,1,pirelli,16
1:20.922,red-bull,1:21.265,rbpt,+0.145,+0.145,1:20.306,max-verstappen,16,2,pirelli,1
1:21.348,ferrari,1:20.878,ferrari,+0.123,+0.268,1:20.429,carlos-sainz-jr,13,3,pirelli,55
1:21.495,red-bull,1:21.358,rbpt,+0.777,+1.045,1:21.206,sergio-perez,15,4,pirelli,11
1:22.048,mercedes,1:21.708,mercedes,+0.318,+1.363,1:21.524,lewis-hamilton,17,5,pirelli,44
1:21.785,mercedes,1:21.747,mercedes,+0.018,+1.381,1:21.542,george-russell,17,6,pirelli,63
1:22.130,mclaren,1:21.831,mercedes,+0.042,+1.423,1:21.584,lando-norris,19,7,pirelli,4
1:22.139,mclaren,1:21.855,mercedes,+0.341,+1.764,1:21.925,daniel-ricciardo,20,8,pirelli,3
1:22.010,alphatauri,1:22.062,rbpt,+0.723,+2.487,1:22.648,pierre-gasly,18,9,pirelli,10
1:22.089,alpine,1:21.861,renault,,,,fernando-alonso,17,10,pirelli,14
1:22.166,alpine,1:22.130,renault,,,,esteban-ocon,12,11,pirelli,31
1:22.254,alfa-romeo,1:22.235,ferrari,,,,valtteri-bottas,12,12,pirelli,77
1:22.567,williams,1:22.471,mercedes,,,,nyck-de-vries,13,13,pirelli,45
1:22.003,alfa-romeo,1:22.577,ferrari,,,,guanyu-zhou,12,14,pirelli,24
1:22.020,alphatauri,,rbpt,,,,yuki-tsunoda,6,15,pirelli,22
1:22.587,williams,,mercedes,,,,nicholas-latifi,7,16,pirelli,6
1:22.636,aston-martin,,mercedes,,,,sebastian-vettel,7,17,pirelli,5
1:22.748,aston-martin,,mercedes,,,,lance-stroll,9,18,pirelli,18
1:22.908,haas,,ferrari,,,,kevin-magnussen,10,19,pirelli,20
1:23.005,haas,,ferrari,,,,mick-schumacher,9,20,pirelli,47
