constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
ferrari,ferrari,27.4,charles-leclerc,1,pirelli,16
williams,mercedes,16.3,franco-colapinto,2,pirelli,43
red-bull,honda-rbpt,10.1,max-verstappen,3,pirelli,1
ferrari,ferrari,8.9,carlos-sainz-jr,4,pirelli,55
mclaren,mercedes,8.5,lando-norris,5,pirelli,4
