time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:30.304,red-bull,rbpt,,,21,sergio-perez,1,pirelli,11
1:30.498,ferrari,ferrari,+0.194,+0.194,23,charles-leclerc,2,pirelli,16
1:30.649,red-bull,rbpt,+0.151,+0.345,20,max-verstappen,3,pirelli,1
1:31.036,alpine,renault,+0.387,+0.732,18,fernando-alonso,4,pirelli,14
1:31.049,aston-martin,mercedes,+0.013,+0.745,24,sebastian-vettel,5,pirelli,5
1:31.050,haas,ferrari,+0.001,+0.746,19,mick-schumacher,6,pirelli,47
1:31.172,ferrari,ferrari,+0.122,+0.868,24,carlos-sainz-jr,7,pirelli,55
1:31.227,haas,ferrari,+0.055,+0.923,20,kevin-magnussen,8,pirelli,20
1:31.501,williams,mercedes,+0.274,+1.197,14,alexander-albon,9,pirelli,23
1:31.594,mclaren,mercedes,+0.093,+1.290,18,lando-norris,10,pirelli,4
1:31.659,alphatauri,rbpt,+0.065,+1.355,24,yuki-tsunoda,11,pirelli,22
1:31.665,aston-martin,mercedes,+0.006,+1.361,22,lance-stroll,12,pirelli,18
1:31.728,mclaren,mercedes,+0.063,+1.424,19,daniel-ricciardo,13,pirelli,3
1:31.885,alfa-romeo,ferrari,+0.157,+1.581,26,valtteri-bottas,14,pirelli,77
1:31.890,mercedes,mercedes,+0.005,+1.586,20,lewis-hamilton,15,pirelli,44
1:31.901,alphatauri,rbpt,+0.011,+1.597,18,pierre-gasly,16,pirelli,10
1:31.924,mercedes,mercedes,+0.023,+1.620,19,george-russell,17,pirelli,63
1:32.051,alfa-romeo,ferrari,+0.127,+1.747,16,guanyu-zhou,18,pirelli,24
1:32.376,williams,mercedes,+0.325,+2.072,16,nicholas-latifi,19,pirelli,6
,alpine,renault,,,3,esteban-ocon,20,pirelli,31
