driverId,position,points
max-verstappen,1,25
sergio-perez,2,18
fernando-alonso,3,15
carlos-sainz-jr,4,12
lewis-hamilton,5,10
lance-stroll,6,8
george-russell,7,6
valtteri-bottas,8,4
pierre-gasly,9,2
alexander-albon,10,1
yuki-tsunoda,11,0
logan-sargeant,12,0
kevin-magnussen,13,0
nyck-de-vries,14,0
nico-hulkenberg,15,0
guanyu-zhou,16,0
lando-norris,17,0
