time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:18.341,mercedes,mercedes,,,28,valtteri-bottas,1,pirelli,77
1:18.417,mercedes,mercedes,+0.076,+0.076,24,lewis-hamilton,2,pirelli,44
1:18.464,red-bull,honda,+0.047,+0.123,28,max-verstappen,3,pirelli,33
1:18.610,red-bull,honda,+0.146,+0.269,20,sergio-perez,4,pirelli,11
1:18.985,alphatauri,honda,+0.375,+0.644,23,pierre-gasly,5,pirelli,10
1:19.463,ferrari,ferrari,+0.478,+1.122,26,carlos-sainz-jr,6,pirelli,55
1:19.656,alpine,renault,+0.193,+1.315,26,fernando-alonso,7,pirelli,14
1:19.667,ferrari,ferrari,+0.011,+1.326,20,charles-leclerc,8,pirelli,16
1:19.759,alpine,renault,+0.092,+1.418,20,esteban-ocon,9,pirelli,31
1:19.858,aston-martin,mercedes,+0.099,+1.517,27,sebastian-vettel,10,pirelli,5
1:20.011,alphatauri,honda,+0.153,+1.670,30,yuki-tsunoda,11,pirelli,22
1:20.026,alfa-romeo,ferrari,+0.015,+1.685,26,kimi-raikkonen,12,pirelli,7
1:20.030,aston-martin,mercedes,+0.004,+1.689,27,lance-stroll,13,pirelli,18
1:20.273,mclaren,mercedes,+0.243,+1.932,25,daniel-ricciardo,14,pirelli,3
1:20.301,mclaren,mercedes,+0.028,+1.960,26,lando-norris,15,pirelli,4
1:20.344,alfa-romeo,ferrari,+0.043,+2.003,27,antonio-giovinazzi,16,pirelli,99
1:20.517,williams,mercedes,+0.173,+2.176,23,george-russell,17,pirelli,63
1:21.580,williams,mercedes,+1.063,+3.239,23,nicholas-latifi,18,pirelli,6
1:22.144,haas,ferrari,+0.564,+3.803,27,mick-schumacher,19,pirelli,47
1:22.819,haas,ferrari,+0.675,+4.478,24,nikita-mazepin,20,pirelli,9
