engineManufacturerId,constructorId,position,points
mercedes,mercedes,1,478.5
honda,red-bull,2,477.5
ferrari,ferrari,3,268.5
mercedes,mclaren,4,255
renault,alpine,5,106
honda,alphatauri,6,106
mercedes,aston-martin,7,68
mercedes,williams,8,23
ferrari,alfa-romeo,9,11
ferrari,haas,10,0
