time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:20.153,mercedes,mercedes,,,george-russell,1,pirelli,71,63
1:21.775,red-bull,rbpt,+1.622,+1.622,sergio-perez,2,pirelli,30,11
1:22.022,mclaren,mercedes,+0.247,+1.869,daniel-ricciardo,3,pirelli,48,3
1:22.046,red-bull,rbpt,+0.024,+1.893,max-verstappen,4,pirelli,36,1
1:22.062,mercedes,mercedes,+0.016,+1.909,lewis-hamilton,5,pirelli,32,44
1:22.199,ferrari,ferrari,+0.137,+2.046,carlos-sainz-jr,6,pirelli,32,55
1:22.260,alfa-romeo,ferrari,+0.061,+2.107,guanyu-zhou,7,pirelli,47,24
1:22.277,alphatauri,rbpt,+0.017,+2.124,pierre-gasly,8,pirelli,42,10
1:22.463,aston-martin,mercedes,+0.186,+2.310,lance-stroll,9,pirelli,42,18
1:22.603,ferrari,ferrari,+0.140,+2.450,charles-leclerc,10,pirelli,48,16
1:22.866,alpine,renault,+0.263,+2.713,fernando-alonso,11,pirelli,48,14
1:22.914,williams,mercedes,+0.048,+2.761,alexander-albon,12,pirelli,48,23
1:23.086,aston-martin,mercedes,+0.172,+2.933,sebastian-vettel,13,pirelli,45,5
1:23.279,alpine,renault,+0.193,+3.126,esteban-ocon,14,pirelli,48,31
1:23.300,haas,ferrari,+0.021,+3.147,kevin-magnussen,15,pirelli,49,20
1:23.363,alfa-romeo,ferrari,+0.063,+3.210,valtteri-bottas,16,pirelli,43,77
1:23.402,mclaren,mercedes,+0.039,+3.249,lando-norris,17,pirelli,48,4
1:23.403,alphatauri,rbpt,+0.001,+3.250,yuki-tsunoda,18,pirelli,48,22
1:23.641,haas,ferrari,+0.238,+3.488,mick-schumacher,19,pirelli,30,47
1:23.709,williams,mercedes,+0.068,+3.556,nicholas-latifi,20,pirelli,56,6
