constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
red-bull,honda,31.8,max-verstappen,1,pirelli,33
racing-point,bwt-mercedes,18,nico-hulkenberg,2,pirelli,27
ferrari,ferrari,11.9,charles-leclerc,3,pirelli,16
mercedes,mercedes,9.3,lewis-hamilton,4,pirelli,44
red-bull,honda,6.9,alexander-albon,5,pirelli,23
