engineManufacturerId,constructorId,position,points
mercedes,mercedes,1,180
honda,red-bull,2,113
ferrari,ferrari,3,55
renault,mclaren,4,53
bwt-mercedes,racing-point,5,41
renault,renault,6,36
honda,alphatauri,7,14
ferrari,alfa-romeo,8,2
ferrari,haas,9,1
mercedes,williams,10,0
