engineManufacturerId,constructorId,position,points
mercedes,mclaren,1,593
ferrari,ferrari,2,557
honda-rbpt,red-bull,3,544
mercedes,mercedes,4,382
mercedes,aston-martin,5,86
renault,alpine,6,49
ferrari,haas,7,46
honda-rbpt,rb,8,44
mercedes,williams,9,17
ferrari,kick-sauber,10,0
