driverId,position,points
max-verstappen,1,393
lando-norris,2,331
charles-leclerc,3,307
oscar-piastri,4,262
carlos-sainz-jr,5,244
george-russell,6,192
lewis-hamilton,7,190
sergio-perez,8,151
fernando-alonso,9,62
nico-hulkenberg,10,31
yuki-tsunoda,11,28
pierre-gasly,12,26
lance-stroll,13,24
esteban-ocon,14,23
kevin-magnussen,15,14
alexander-albon,16,12
daniel-ricciardo,17,12
oliver-bearman,18,7
franco-colapinto,19,5
liam-lawson,20,4
guanyu-zhou,21,0
logan-sargeant,22,0
valtteri-bottas,23,0
