engineManufacturerId,constructorId,position,points
honda-rbpt,red-bull,1,597
mercedes,mercedes,2,289
ferrari,ferrari,3,265
mercedes,aston-martin,4,217
mercedes,mclaren,5,139
renault,alpine,6,81
mercedes,williams,7,21
ferrari,haas,8,12
ferrari,alfa-romeo,9,10
honda-rbpt,alphatauri,10,5
