constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
alpine,renault,23.5,esteban-ocon,1,pirelli,31
aston-martin,mercedes,22.6,fernando-alonso,2,pirelli,14
red-bull,honda-rbpt,16.5,max-verstappen,3,pirelli,1
mercedes,mercedes,7.5,lewis-hamilton,4,pirelli,44
ferrari,ferrari,6.2,charles-leclerc,5,pirelli,16
