q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:04.111,mercedes,1:03.015,mercedes,,,1:02.939,valtteri-bottas,19,1,pirelli,77
1:04.198,mercedes,1:03.096,mercedes,+0.012,+0.012,1:02.951,lewis-hamilton,21,2,pirelli,44
1:04.024,red-bull,1:04.000,honda,+0.526,+0.538,1:03.477,max-verstappen,23,3,pirelli,33
1:04.606,mclaren,1:03.819,renault,+0.149,+0.687,1:03.626,lando-norris,17,4,pirelli,4
1:04.661,red-bull,1:03.746,honda,+0.242,+0.929,1:03.868,alexander-albon,18,5,pirelli,23
1:04.543,racing-point,1:03.860,bwt-mercedes,+0.000,+0.929,1:03.868,sergio-perez,19,6,pirelli,11
1:04.500,ferrari,1:04.041,ferrari,+0.055,+0.984,1:03.923,charles-leclerc,20,7,pirelli,16
1:04.537,mclaren,1:03.971,renault,+0.048,+1.032,1:03.971,carlos-sainz-jr,18,8,pirelli,55
1:04.309,racing-point,1:03.955,bwt-mercedes,+0.058,+1.090,1:04.029,lance-stroll,17,9,pirelli,18
1:04.556,renault,1:04.023,renault,+0.210,+1.300,1:04.239,daniel-ricciardo,15,10,pirelli,3
1:04.554,ferrari,1:04.206,ferrari,,,,sebastian-vettel,13,11,pirelli,5
1:04.603,alphatauri,1:04.305,honda,,,,pierre-gasly,14,12,pirelli,10
1:05.031,alphatauri,1:04.431,honda,,,,daniil-kvyat,14,13,pirelli,26
1:04.933,renault,1:04.643,renault,,,,esteban-ocon,12,14,pirelli,31
1:05.094,haas,1:04.691,ferrari,,,,romain-grosjean,14,15,pirelli,8
1:05.164,haas,,ferrari,,,,kevin-magnussen,8,16,pirelli,20
1:05.167,williams,,mercedes,,,,george-russell,10,17,pirelli,63
1:05.175,alfa-romeo,,ferrari,,,,antonio-giovinazzi,8,18,pirelli,99
1:05.224,alfa-romeo,,ferrari,,,,kimi-raikkonen,9,19,pirelli,7
1:05.757,williams,,mercedes,,,,nicholas-latifi,12,20,pirelli,6
