constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
red-bull,honda,15,alexander-albon,1,pirelli,23
mclaren,renault,13.9,lando-norris,2,pirelli,4
mercedes,mercedes,12.7,valtteri-bottas,3,pirelli,77
racing-point,bwt-mercedes,12.2,sergio-perez,4,pirelli,11
ferrari,ferrari,11.6,charles-leclerc,5,pirelli,16
