time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:04.816,mercedes,mercedes,,,42,lewis-hamilton,1,pirelli,44
1:05.172,mercedes,mercedes,+0.356,+0.356,38,valtteri-bottas,2,pirelli,77
1:05.418,red-bull,honda,+0.246,+0.602,37,max-verstappen,3,pirelli,33
1:05.431,mclaren,renault,+0.013,+0.615,41,carlos-sainz-jr,4,pirelli,55
1:05.512,racing-point,bwt-mercedes,+0.081,+0.696,33,sergio-perez,5,pirelli,11
1:05.621,mclaren,renault,+0.109,+0.805,41,lando-norris,6,pirelli,4
1:05.701,red-bull,honda,+0.080,+0.885,29,alexander-albon,7,pirelli,23
1:05.860,renault,renault,+0.159,+1.044,29,daniel-ricciardo,8,pirelli,3
1:05.907,haas,ferrari,+0.047,+1.091,27,kevin-magnussen,9,pirelli,20
1:05.924,ferrari,ferrari,+0.017,+1.108,31,charles-leclerc,10,pirelli,16
1:06.074,racing-point,bwt-mercedes,+0.150,+1.258,34,lance-stroll,11,pirelli,18
1:06.077,ferrari,ferrari,+0.003,+1.261,32,sebastian-vettel,12,pirelli,5
1:06.270,renault,renault,+0.193,+1.454,22,esteban-ocon,13,pirelli,31
1:06.360,alfa-romeo,ferrari,+0.090,+1.544,24,antonio-giovinazzi,14,pirelli,99
1:06.365,alfa-romeo,ferrari,+0.005,+1.549,28,kimi-raikkonen,15,pirelli,7
1:06.404,alphatauri,honda,+0.039,+1.588,25,pierre-gasly,16,pirelli,10
1:06.495,williams,mercedes,+0.091,+1.679,27,george-russell,17,pirelli,63
1:06.906,williams,mercedes,+0.411,+2.090,31,nicholas-latifi,18,pirelli,6
1:06.943,alphatauri,honda,+0.037,+2.127,19,daniil-kvyat,19,pirelli,26
1:46.361,haas,ferrari,+39.418,+41.545,6,romain-grosjean,20,pirelli,8
