engineManufacturerId,constructorId,position,points
mercedes,mercedes,1,540
honda,red-bull,2,282
bwt-mercedes,racing-point,3,194
renault,mclaren,4,184
renault,renault,5,172
ferrari,ferrari,6,131
honda,alphatauri,7,103
ferrari,alfa-romeo,8,8
ferrari,haas,9,3
mercedes,williams,10,0
