time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
54.713,mercedes,mercedes,,,48,george-russell,1,pirelli,63
54.841,red-bull,honda,+0.128,+0.128,43,max-verstappen,2,pirelli,33
54.866,racing-point,bwt-mercedes,+0.025,+0.153,52,sergio-perez,3,pirelli,11
54.940,renault,renault,+0.074,+0.227,50,esteban-ocon,4,pirelli,31
55.036,red-bull,honda,+0.096,+0.323,42,alexander-albon,5,pirelli,23
55.068,alphatauri,honda,+0.032,+0.355,58,daniil-kvyat,6,pirelli,26
55.104,racing-point,bwt-mercedes,+0.036,+0.391,44,lance-stroll,7,pirelli,18
55.124,renault,renault,+0.020,+0.411,47,daniel-ricciardo,8,pirelli,3
55.133,alphatauri,honda,+0.009,+0.420,48,pierre-gasly,9,pirelli,10
55.258,mclaren,renault,+0.125,+0.545,39,carlos-sainz-jr,10,pirelli,55
55.321,mercedes,mercedes,+0.063,+0.608,52,valtteri-bottas,11,pirelli,77
55.484,alfa-romeo,ferrari,+0.163,+0.771,54,kimi-raikkonen,12,pirelli,7
55.533,alfa-romeo,ferrari,+0.049,+0.820,57,antonio-giovinazzi,13,pirelli,99
55.738,haas,ferrari,+0.205,+1.025,49,kevin-magnussen,14,pirelli,20
55.784,williams,mercedes,+0.046,+1.071,52,nicholas-latifi,15,pirelli,6
55.830,ferrari,ferrari,+0.046,+1.117,43,sebastian-vettel,16,pirelli,5
56.031,mclaren,renault,+0.201,+1.318,14,lando-norris,17,pirelli,4
56.110,haas,ferrari,+0.079,+1.397,56,pietro-fittipaldi,18,pirelli,51
56.260,williams,mercedes,+0.150,+1.547,58,jack-aitken,19,pirelli,89
,ferrari,ferrari,,,2,charles-leclerc,20,pirelli,16
