engineManufacturerId,constructorId,position,points
mercedes,mercedes,1,146
honda,red-bull,2,78
renault,mclaren,3,51
ferrari,ferrari,4,43
bwt-mercedes,racing-point,5,42
renault,renault,6,32
honda,alphatauri,7,13
ferrari,alfa-romeo,8,2
ferrari,haas,9,1
mercedes,williams,10,0
