constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
mercedes,mercedes,,lewis-hamilton,1,pirelli,44
red-bull,honda,,max-verstappen,2,pirelli,33
mclaren,renault,,lando-norris,3,pirelli,4
mclaren,renault,,carlos-sainz-jr,4,pirelli,55
red-bull,honda,,alexander-albon,5,pirelli,23
