constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
racing-point,bwt-mercedes,34.7,nico-hulkenberg,1,pirelli,27
renault,renault,17.6,daniel-ricciardo,2,pirelli,3
mercedes,mercedes,8.4,lewis-hamilton,3,pirelli,44
ferrari,ferrari,7.4,charles-leclerc,4,pirelli,16
red-bull,honda,5.6,max-verstappen,5,pirelli,33
