engineManufacturerId,constructorId,position,points
mercedes,mercedes,1,391
honda,red-bull,2,211
bwt-mercedes,racing-point,3,120
renault,mclaren,4,116
renault,renault,5,114
ferrari,ferrari,6,80
honda,alphatauri,7,67
ferrari,alfa-romeo,8,5
ferrari,haas,9,3
mercedes,williams,10,0
