constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
red-bull,honda-rbpt,20.7,sergio-perez,1,pirelli,11
mclaren,mercedes,20.4,lando-norris,2,pirelli,4
mclaren,mercedes,13.7,oscar-piastri,3,pirelli,81
mercedes,mercedes,8.4,george-russell,4,pirelli,63
red-bull,honda-rbpt,7.6,max-verstappen,5,pirelli,1
