time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:18.446,red-bull,rbpt,,,max-verstappen,1,pirelli,55,1
1:18.574,ferrari,ferrari,+0.128,+0.128,charles-leclerc,2,pirelli,63,16
1:18.949,red-bull,rbpt,+0.375,+0.503,sergio-perez,3,pirelli,52,11
1:18.999,haas,ferrari,+0.050,+0.553,mick-schumacher,4,pirelli,55,47
1:20.544,alphatauri,rbpt,+1.545,+2.098,yuki-tsunoda,5,pirelli,61,22
1:20.758,alfa-romeo,ferrari,+0.214,+2.312,valtteri-bottas,6,pirelli,43,77
1:20.903,mclaren,mercedes,+0.145,+2.457,lando-norris,7,pirelli,61,4
1:20.962,mercedes,mercedes,+0.059,+2.516,george-russell,8,pirelli,57,63
1:21.211,aston-martin,mercedes,+0.249,+2.765,sebastian-vettel,9,pirelli,47,5
1:21.238,haas,ferrari,+0.027,+2.792,kevin-magnussen,10,pirelli,61,20
1:21.286,alfa-romeo,ferrari,+0.048,+2.840,guanyu-zhou,11,pirelli,61,24
1:21.338,williams,mercedes,+0.052,+2.892,nicholas-latifi,12,pirelli,62,6
1:21.419,mercedes,mercedes,+0.081,+2.973,lewis-hamilton,13,pirelli,50,44
1:21.577,mclaren,mercedes,+0.158,+3.131,daniel-ricciardo,14,pirelli,61,3
1:21.713,alphatauri,rbpt,+0.136,+3.267,pierre-gasly,15,pirelli,34,10
1:21.750,aston-martin,mercedes,+0.037,+3.304,lance-stroll,16,pirelli,46,18
1:21.757,williams,mercedes,+0.007,+3.311,alexander-albon,17,pirelli,61,23
1:21.887,alpine,renault,+0.130,+3.441,esteban-ocon,18,pirelli,37,31
1:39.685,alpine,renault,+17.798,+21.239,fernando-alonso,19,pirelli,5,14
