engineManufacturerId,constructorId,position,points
mercedes,mercedes,1,366
honda,red-bull,2,192
renault,mclaren,3,106
bwt-mercedes,racing-point,4,104
renault,renault,5,99
ferrari,ferrari,6,74
honda,alphatauri,7,59
ferrari,alfa-romeo,8,4
ferrari,haas,9,1
mercedes,williams,10,0
