constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
racing-point,bwt-mercedes,34.7,sergio-perez,1,pirelli,11
mercedes,mercedes,10.9,lewis-hamilton,2,pirelli,44
red-bull,honda,10.7,max-verstappen,3,pirelli,33
renault,renault,6.6,daniel-ricciardo,4,pirelli,3
mclaren,renault,5.6,lando-norris,5,pirelli,4
