engineManufacturerId,constructorId,position,points
mercedes,mercedes,1,80
renault,mclaren,2,39
honda,red-bull,3,27
bwt-mercedes,racing-point,4,22
ferrari,ferrari,5,19
renault,renault,6,8
honda,alphatauri,7,7
ferrari,alfa-romeo,8,2
mercedes,williams,9,0
ferrari,haas,10,0
