engineManufacturerId,constructorId,position,points
honda-rbpt,red-bull,1,657
mercedes,mercedes,2,326
ferrari,ferrari,3,298
mercedes,aston-martin,4,230
mercedes,mclaren,5,219
renault,alpine,6,90
mercedes,williams,7,23
ferrari,alfa-romeo,8,16
ferrari,haas,9,12
honda-rbpt,alphatauri,10,5
