engineManufacturerId,constructorId,position,points
honda-rbpt,red-bull,1,540
mercedes,mercedes,2,255
mercedes,aston-martin,3,215
ferrari,ferrari,4,201
mercedes,mclaren,5,111
renault,alpine,6,73
mercedes,williams,7,15
ferrari,haas,8,11
ferrari,alfa-romeo,9,9
honda-rbpt,alphatauri,10,3
