constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
aston-martin,mercedes,20.9,fernando-alonso,1,pirelli,14
williams,mercedes,14,alexander-albon,2,pirelli,23
red-bull,honda-rbpt,10.9,max-verstappen,3,pirelli,1
alpine,renault,9.1,pierre-gasly,4,pirelli,10
mercedes,mercedes,9,lewis-hamilton,5,pirelli,44
