engineManufacturerId,constructorId,position,points
mercedes,mercedes,1,504
honda,red-bull,2,240
bwt-mercedes,racing-point,3,154
renault,mclaren,4,149
renault,renault,5,136
ferrari,ferrari,6,130
honda,alphatauri,7,89
ferrari,alfa-romeo,8,8
ferrari,haas,9,3
mercedes,williams,10,0
