engineManufacturerId,constructorId,position,points
mercedes,mclaren,1,476
honda-rbpt,red-bull,2,456
ferrari,ferrari,3,425
mercedes,mercedes,4,309
mercedes,aston-martin,5,82
honda-rbpt,rb,6,34
ferrari,haas,7,29
mercedes,williams,8,16
renault,alpine,9,13
ferrari,kick-sauber,10,0
