constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
mclaren,mercedes,29.6,oscar-piastri,1,pirelli,81
mclaren,mercedes,14.2,lando-norris,2,pirelli,4
ferrari,ferrari,12.3,charles-leclerc,3,pirelli,16
red-bull,honda-rbpt,9.3,sergio-perez,4,pirelli,11
williams,mercedes,7.8,franco-colapinto,5,pirelli,43
