q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:16.872,mercedes,1:16.013,mercedes,,,1:15.584,lewis-hamilton,15,1,pirelli,44
1:17.243,mercedes,1:16.152,mercedes,+0.059,+0.059,1:15.643,valtteri-bottas,15,2,pirelli,77
1:17.213,red-bull,1:16.518,honda,+0.649,+0.708,1:16.292,max-verstappen,15,3,pirelli,33
1:17.117,racing-point,1:16.936,bwt-mercedes,+0.190,+0.898,1:16.482,sergio-perez,15,4,pirelli,11
1:17.316,racing-point,1:16.666,bwt-mercedes,+0.107,+1.005,1:16.589,lance-stroll,15,5,pirelli,18
1:17.419,red-bull,1:17.163,honda,+0.440,+1.445,1:17.029,alexander-albon,18,6,pirelli,23
1:17.438,mclaren,1:16.876,renault,+0.015,+1.460,1:17.044,carlos-sainz-jr,17,7,pirelli,55
1:17.577,mclaren,1:17.166,renault,+0.040,+1.500,1:17.084,lando-norris,18,8,pirelli,4
1:17.256,ferrari,1:16.953,ferrari,+0.003,+1.503,1:17.087,charles-leclerc,18,9,pirelli,16
1:17.356,alphatauri,1:16.800,honda,+0.049,+1.552,1:17.136,pierre-gasly,18,10,pirelli,10
1:17.573,ferrari,1:17.168,ferrari,,,,sebastian-vettel,12,11,pirelli,5
1:17.676,alphatauri,1:17.192,honda,,,,daniil-kvyat,12,12,pirelli,26
1:17.667,renault,1:17.198,renault,,,,daniel-ricciardo,12,13,pirelli,3
1:17.797,alfa-romeo,1:17.386,ferrari,,,,kimi-raikkonen,12,14,pirelli,7
1:17.765,renault,1:17.567,renault,,,,esteban-ocon,12,15,pirelli,31
1:17.908,haas,,ferrari,,,,kevin-magnussen,6,16,pirelli,20
1:18.089,haas,,ferrari,,,,romain-grosjean,6,17,pirelli,8
1:18.099,williams,,mercedes,,,,george-russell,9,18,pirelli,63
1:18.532,williams,,mercedes,,,,nicholas-latifi,9,19,pirelli,6
1:18.697,alfa-romeo,,ferrari,,,,antonio-giovinazzi,6,20,pirelli,99
