time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:18.183,mercedes,mercedes,,,valtteri-bottas,1,pirelli,66,77
1:19.822,mercedes,mercedes,+1.639,+1.639,lewis-hamilton,2,pirelli,63,44
1:20.409,haas,ferrari,+0.587,+2.226,romain-grosjean,3,pirelli,64,8
1:21.477,red-bull,honda,+1.068,+3.294,max-verstappen,4,pirelli,53,33
1:21.771,mclaren,renault,+0.294,+3.588,carlos-sainz-jr,5,pirelli,59,55
1:21.801,alfa-romeo,ferrari,+0.030,+3.618,antonio-giovinazzi,6,pirelli,47,99
1:21.888,alfa-romeo,ferrari,+0.087,+3.705,kimi-raikkonen,7,pirelli,47,7
1:22.024,racing-point,bwt-mercedes,+0.136,+3.841,lance-stroll,8,pirelli,56,18
1:22.030,williams,mercedes,+0.006,+3.847,nicholas-latifi,9,pirelli,60,6
1:22.174,renault,renault,+0.144,+3.991,esteban-ocon,10,pirelli,65,31
1:22.194,red-bull,honda,+0.020,+4.011,alexander-albon,11,pirelli,41,23
1:22.336,alphatauri,honda,+0.142,+4.153,daniil-kvyat,12,pirelli,47,26
1:22.392,mclaren,renault,+0.056,+4.209,lando-norris,13,pirelli,56,4
1:22.464,renault,renault,+0.072,+4.281,daniel-ricciardo,14,pirelli,51,3
1:22.503,williams,mercedes,+0.039,+4.320,george-russell,15,pirelli,37,63
1:22.515,racing-point,bwt-mercedes,+0.012,+4.332,sergio-perez,16,pirelli,58,11
1:22.543,alphatauri,honda,+0.028,+4.360,pierre-gasly,17,pirelli,44,10
1:22.707,ferrari,ferrari,+0.164,+4.524,sebastian-vettel,18,pirelli,48,5
1:23.474,haas,ferrari,+0.767,+5.291,kevin-magnussen,19,pirelli,64,20
1:23.968,ferrari,ferrari,+0.494,+5.785,charles-leclerc,20,pirelli,35,16
