driverId,position,points
lewis-hamilton,1,132
max-verstappen,2,95
valtteri-bottas,3,89
charles-leclerc,4,45
lance-stroll,5,40
alexander-albon,6,40
lando-norris,7,39
sergio-perez,8,32
carlos-sainz-jr,9,23
daniel-ricciardo,10,20
sebastian-vettel,11,16
esteban-ocon,12,16
pierre-gasly,13,14
nico-hulkenberg,14,6
antonio-giovinazzi,15,2
daniil-kvyat,16,2
kevin-magnussen,17,1
kimi-raikkonen,18,0
nicholas-latifi,19,0
george-russell,20,0
romain-grosjean,21,0
