time,constructorId,gridPosition,engineManufacturerId,timePenalty,interval,laps,gap,driverId,reasonRetired,position,points,tyreManufacturerId,driverNumber
1:31:45.279,mercedes,1,mercedes,,,66,,lewis-hamilton,,1,25,pirelli,44
1:32:09.456,red-bull,3,honda,,+24.177,66,+24.177,max-verstappen,,2,18,pirelli,33
1:32:30.031,mercedes,2,mercedes,,+20.575,66,+44.752,valtteri-bottas,,3,16,pirelli,77
,racing-point,5,bwt-mercedes,,,65,+1 lap,lance-stroll,,4,12,pirelli,18
,racing-point,4,bwt-mercedes,5.000,,65,+1 lap,sergio-perez,,5,10,pirelli,11
,mclaren,7,renault,,,65,+1 lap,carlos-sainz-jr,,6,8,pirelli,55
,ferrari,11,ferrari,,,65,+1 lap,sebastian-vettel,,7,6,pirelli,5
,red-bull,6,honda,,,65,+1 lap,alexander-albon,,8,4,pirelli,23
,alphatauri,10,honda,,,65,+1 lap,pierre-gasly,,9,2,pirelli,10
,mclaren,8,renault,,,65,+1 lap,lando-norris,,10,1,pirelli,4
,renault,13,renault,,,65,+1 lap,daniel-ricciardo,,11,,pirelli,3
,alphatauri,12,honda,5.000,,65,+1 lap,daniil-kvyat,,12,,pirelli,26
,renault,15,renault,,,65,+1 lap,esteban-ocon,,13,,pirelli,31
,alfa-romeo,14,ferrari,,,65,+1 lap,kimi-raikkonen,,14,,pirelli,7
,haas,16,ferrari,,,65,+1 lap,kevin-magnussen,,15,,pirelli,20
,alfa-romeo,20,ferrari,,,65,+1 lap,antonio-giovinazzi,,16,,pirelli,99
,williams,18,mercedes,,,65,+1 lap,george-russell,,17,,pirelli,63
,williams,19,mercedes,,,64,+2 laps,nicholas-latifi,,18,,pirelli,6
,haas,17,ferrari,,,64,+2 laps,romain-grosjean,,19,,pirelli,8
,ferrari,9,ferrari,,,38,,charles-leclerc,Electrical,DNF,,pirelli,16
