engineManufacturerId,constructorId,position,points
honda-rbpt,red-bull,1,408
mercedes,mclaren,2,366
ferrari,ferrari,3,345
mercedes,mercedes,4,266
mercedes,aston-martin,5,73
honda-rbpt,rb,6,34
ferrari,haas,7,27
renault,alpine,8,11
mercedes,williams,9,4
ferrari,kick-sauber,10,0
