q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:19.514,mercedes,1:19.092,mercedes,,,1:18.887,lewis-hamilton,18,1,pirelli,44
1:19.786,mercedes,1:18.952,mercedes,+0.069,+0.069,1:18.956,valtteri-bottas,18,2,pirelli,77
1:20.099,mclaren,1:19.705,renault,+0.739,+0.808,1:19.695,carlos-sainz-jr,16,3,pirelli,55
1:20.048,racing-point,1:19.718,bwt-mercedes,+0.025,+0.833,1:19.720,sergio-perez,17,4,pirelli,11
1:20.193,red-bull,1:19.780,honda,+0.075,+0.908,1:19.795,max-verstappen,17,5,pirelli,33
1:20.344,mclaren,1:19.962,renault,+0.025,+0.933,1:19.820,lando-norris,18,6,pirelli,4
1:20.548,renault,1:20.031,renault,+0.044,+0.977,1:19.864,daniel-ricciardo,16,7,pirelli,3
1:20.400,racing-point,1:19.924,bwt-mercedes,+0.185,+1.162,1:20.049,lance-stroll,19,8,pirelli,18
1:21.104,red-bull,1:20.064,honda,+0.041,+1.203,1:20.090,alexander-albon,19,9,pirelli,23
1:20.145,alphatauri,1:19.909,honda,+0.087,+1.290,1:20.177,pierre-gasly,20,10,pirelli,10
1:20.307,alphatauri,1:20.169,honda,,,,daniil-kvyat,14,11,pirelli,26
1:20.747,renault,1:20.234,renault,,,,esteban-ocon,12,12,pirelli,31
1:20.443,ferrari,1:20.273,ferrari,,,,charles-leclerc,15,13,pirelli,16
1:21.010,alfa-romeo,1:20.926,ferrari,,,,kimi-raikkonen,14,14,pirelli,7
1:20.869,haas,1:21.573,ferrari,,,,kevin-magnussen,14,15,pirelli,20
1:21.139,haas,,ferrari,,,,romain-grosjean,8,16,pirelli,8
1:21.151,ferrari,,ferrari,,,,sebastian-vettel,5,17,pirelli,5
1:21.206,alfa-romeo,,ferrari,,,,antonio-giovinazzi,9,18,pirelli,99
1:21.587,williams,,mercedes,,,,george-russell,7,19,pirelli,63
1:21.717,williams,,mercedes,,,,nicholas-latifi,8,20,pirelli,6
