time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:20.089,mercedes,mercedes,,,14,valtteri-bottas,1,pirelli,77
1:20.318,mclaren,renault,+0.229,+0.229,14,carlos-sainz-jr,2,pirelli,55
1:20.412,mclaren,renault,+0.094,+0.323,15,lando-norris,3,pirelli,4
1:20.419,renault,renault,+0.007,+0.330,9,daniel-ricciardo,4,pirelli,3
1:20.439,mercedes,mercedes,+0.020,+0.350,11,lewis-hamilton,5,pirelli,44
1:20.456,red-bull,honda,+0.017,+0.367,15,max-verstappen,6,pirelli,33
1:20.563,red-bull,honda,+0.107,+0.474,15,alexander-albon,7,pirelli,23
1:20.693,renault,renault,+0.130,+0.604,13,esteban-ocon,8,pirelli,31
1:20.804,racing-point,bwt-mercedes,+0.111,+0.715,14,lance-stroll,9,pirelli,18
1:20.897,racing-point,bwt-mercedes,+0.093,+0.808,13,sergio-perez,10,pirelli,11
1:20.917,ferrari,ferrari,+0.020,+0.828,11,charles-leclerc,11,pirelli,16
1:20.936,alphatauri,honda,+0.019,+0.847,14,pierre-gasly,12,pirelli,10
1:20.953,alphatauri,honda,+0.017,+0.864,13,daniil-kvyat,13,pirelli,26
1:21.205,haas,ferrari,+0.252,+1.116,14,romain-grosjean,14,pirelli,8
1:21.263,ferrari,ferrari,+0.058,+1.174,13,sebastian-vettel,15,pirelli,5
1:21.436,haas,ferrari,+0.173,+1.347,15,kevin-magnussen,16,pirelli,20
1:21.459,alfa-romeo,ferrari,+0.023,+1.370,15,kimi-raikkonen,17,pirelli,7
1:21.677,williams,mercedes,+0.218,+1.588,16,george-russell,18,pirelli,63
1:21.764,williams,mercedes,+0.087,+1.675,15,nicholas-latifi,19,pirelli,6
1:22.090,alfa-romeo,ferrari,+0.326,+2.001,15,antonio-giovinazzi,20,pirelli,99
