engineManufacturerId,constructorId,position,points
honda-rbpt,red-bull,1,355
ferrari,ferrari,2,291
mercedes,mclaren,3,268
mercedes,mercedes,4,196
mercedes,aston-martin,5,58
honda-rbpt,rb,6,30
ferrari,haas,7,19
renault,alpine,8,9
mercedes,williams,9,2
ferrari,kick-sauber,10,0
