driverId,position,points
lewis-hamilton,1,44
max-verstappen,2,43
lando-norris,3,27
charles-leclerc,4,20
valtteri-bottas,5,16
carlos-sainz-jr,6,14
daniel-ricciardo,7,14
sergio-perez,8,10
pierre-gasly,9,6
lance-stroll,10,5
yuki-tsunoda,11,2
esteban-ocon,12,2
fernando-alonso,13,1
kimi-raikkonen,14,0
antonio-giovinazzi,15,0
george-russell,16,0
sebastian-vettel,17,0
mick-schumacher,18,0
nikita-mazepin,19,0
nicholas-latifi,20,0
