time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:15.551,mercedes,mercedes,,,25,valtteri-bottas,1,pirelli,77
1:15.561,mercedes,mercedes,+0.010,+0.010,26,lewis-hamilton,2,pirelli,44
1:15.629,alphatauri,honda,+0.068,+0.078,30,pierre-gasly,3,pirelli,10
1:15.834,ferrari,ferrari,+0.205,+0.283,30,carlos-sainz-jr,4,pirelli,55
1:16.371,ferrari,ferrari,+0.537,+0.820,28,charles-leclerc,5,pirelli,16
1:16.411,red-bull,honda,+0.040,+0.860,25,sergio-perez,6,pirelli,11
1:16.419,alphatauri,honda,+0.008,+0.868,26,yuki-tsunoda,7,pirelli,22
1:16.485,mclaren,mercedes,+0.066,+0.934,23,lando-norris,8,pirelli,4
1:16.513,alfa-romeo,ferrari,+0.028,+0.962,25,antonio-giovinazzi,9,pirelli,99
1:16.737,aston-martin,mercedes,+0.224,+1.186,25,lance-stroll,10,pirelli,18
1:16.817,alpine,renault,+0.080,+1.266,27,esteban-ocon,11,pirelli,31
1:16.823,williams,mercedes,+0.006,+1.272,29,nicholas-latifi,12,pirelli,6
1:16.835,alpine,renault,+0.012,+1.284,27,fernando-alonso,13,pirelli,14
1:16.999,red-bull,honda,+0.164,+1.448,5,max-verstappen,14,pirelli,33
1:17.092,aston-martin,mercedes,+0.093,+1.541,27,sebastian-vettel,15,pirelli,5
1:17.179,williams,mercedes,+0.087,+1.628,31,george-russell,16,pirelli,63
1:17.273,alfa-romeo,ferrari,+0.094,+1.722,27,kimi-raikkonen,17,pirelli,7
1:17.281,mclaren,mercedes,+0.008,+1.730,24,daniel-ricciardo,18,pirelli,3
1:17.350,haas,ferrari,+0.069,+1.799,28,mick-schumacher,19,pirelli,47
1:17.857,haas,ferrari,+0.507,+2.306,16,nikita-mazepin,20,pirelli,9
