engineManufacturerId,constructorId,position,points
ferrari,ferrari,1,78
mercedes,mercedes,2,38
rbpt,red-bull,3,37
renault,alpine,4,16
ferrari,haas,5,12
ferrari,alfa-romeo,6,9
rbpt,alphatauri,7,8
mercedes,mclaren,8,6
mercedes,aston-martin,9,0
mercedes,williams,10,0
