time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:29.735,ferrari,ferrari,,,23,charles-leclerc,1,pirelli,16
1:29.768,red-bull,rbpt,+0.033,+0.033,12,max-verstappen,2,pirelli,1
1:29.833,red-bull,rbpt,+0.065,+0.098,16,sergio-perez,3,pirelli,11
1:30.009,ferrari,ferrari,+0.176,+0.274,22,carlos-sainz-jr,4,pirelli,55
1:30.030,alfa-romeo,ferrari,+0.021,+0.295,22,valtteri-bottas,5,pirelli,77
1:30.139,alpine,renault,+0.109,+0.404,16,esteban-ocon,6,pirelli,31
1:30.148,alphatauri,rbpt,+0.009,+0.413,11,pierre-gasly,7,pirelli,10
1:30.262,haas,ferrari,+0.114,+0.527,18,kevin-magnussen,8,pirelli,20
1:30.296,alpine,renault,+0.034,+0.561,17,fernando-alonso,9,pirelli,14
1:30.415,alphatauri,rbpt,+0.119,+0.680,19,yuki-tsunoda,10,pirelli,22
1:30.707,mercedes,mercedes,+0.292,+0.972,17,lewis-hamilton,11,pirelli,44
1:30.765,haas,ferrari,+0.058,+1.030,17,mick-schumacher,12,pirelli,47
1:30.946,alfa-romeo,ferrari,+0.181,+1.211,20,guanyu-zhou,13,pirelli,24
1:30.983,mercedes,mercedes,+0.037,+1.248,15,george-russell,14,pirelli,63
1:31.067,aston-martin,mercedes,+0.084,+1.332,18,lance-stroll,15,pirelli,18
1:31.186,mclaren,mercedes,+0.119,+1.451,16,daniel-ricciardo,16,pirelli,3
1:31.374,williams,mercedes,+0.188,+1.639,16,alexander-albon,17,pirelli,23
1:31.424,aston-martin,mercedes,+0.050,+1.689,18,nico-hulkenberg,18,pirelli,27
1:31.529,mclaren,mercedes,+0.105,+1.794,17,lando-norris,19,pirelli,4
1:31.992,williams,mercedes,+0.463,+2.257,13,nicholas-latifi,20,pirelli,6
