q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:29.705,red-bull,1:28.924,rbpt,,,1:28.200,sergio-perez,20,1,pirelli,11
1:29.039,ferrari,1:28.780,ferrari,+0.025,+0.025,1:28.225,charles-leclerc,22,2,pirelli,16
1:28.855,ferrari,1:28.686,ferrari,+0.177,+0.202,1:28.402,carlos-sainz-jr,23,3,pirelli,55
1:28.928,red-bull,1:28.945,rbpt,+0.059,+0.261,1:28.461,max-verstappen,22,4,pirelli,1
1:30.093,alpine,1:29.584,renault,+0.607,+0.868,1:29.068,esteban-ocon,19,5,pirelli,31
1:29.680,mercedes,1:29.618,mercedes,+0.036,+0.904,1:29.104,george-russell,21,6,pirelli,63
1:29.978,alpine,1:29.295,renault,+0.043,+0.947,1:29.147,fernando-alonso,20,7,pirelli,14
1:29.683,alfa-romeo,1:29.404,ferrari,+0.036,+0.983,1:29.183,valtteri-bottas,22,8,pirelli,77
1:29.891,alphatauri,1:29.418,rbpt,+0.071,+1.054,1:29.254,pierre-gasly,22,9,pirelli,10
1:29.831,haas,1:29.546,ferrari,+0.334,+1.388,1:29.588,kevin-magnussen,24,10,pirelli,20
1:29.957,mclaren,1:29.651,mercedes,,,,lando-norris,16,11,pirelli,4
1:30.009,mclaren,1:29.773,mercedes,,,,daniel-ricciardo,17,12,pirelli,3
1:29.978,alfa-romeo,1:29.819,ferrari,,,,guanyu-zhou,17,13,pirelli,24
1:30.167,haas,1:29.920,ferrari,,,,mick-schumacher,13,14,pirelli,47
1:30.256,aston-martin,1:31.009,mercedes,,,,lance-stroll,15,15,pirelli,18
1:30.343,mercedes,,mercedes,,,,lewis-hamilton,11,16,pirelli,44
1:30.492,williams,,mercedes,,,,alexander-albon,9,17,pirelli,23
1:30.543,aston-martin,,mercedes,,,,nico-hulkenberg,10,18,pirelli,27
1:31.817,williams,,mercedes,,,,nicholas-latifi,4,19,pirelli,6
,alphatauri,,rbpt,,,,yuki-tsunoda,2,NC,pirelli,22
