driverId,position,points
max-verstappen,1,262.5
lewis-hamilton,2,256.5
valtteri-bottas,3,177
lando-norris,4,145
sergio-perez,5,135
carlos-sainz-jr,6,116.5
charles-leclerc,7,116
daniel-ricciardo,8,95
pierre-gasly,9,74
fernando-alonso,10,58
esteban-ocon,11,46
sebastian-vettel,12,35
lance-stroll,13,26
yuki-tsunoda,14,18
george-russell,15,16
nicholas-latifi,16,7
kimi-raikkonen,17,6
antonio-giovinazzi,18,1
mick-schumacher,19,0
robert-kubica,20,0
nikita-mazepin,21,0
