time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:19.828,ferrari,ferrari,,,27,charles-leclerc,1,pirelli,16
1:19.907,ferrari,ferrari,+0.079,+0.079,27,carlos-sainz-jr,2,pirelli,55
1:20.164,red-bull,rbpt,+0.257,+0.336,28,max-verstappen,3,pirelli,1
1:20.590,mercedes,mercedes,+0.426,+0.762,28,george-russell,4,pirelli,63
1:20.768,alpine,renault,+0.178,+0.940,24,fernando-alonso,5,pirelli,14
1:20.811,mercedes,mercedes,+0.043,+0.983,27,lewis-hamilton,6,pirelli,44
1:21.279,mclaren,mercedes,+0.468,+1.451,24,lando-norris,7,pirelli,4
1:21.422,alphatauri,rbpt,+0.143,+1.594,23,pierre-gasly,8,pirelli,10
1:21.737,mclaren,mercedes,+0.315,+1.909,23,daniel-ricciardo,9,pirelli,3
1:21.814,alphatauri,rbpt,+0.077,+1.986,28,yuki-tsunoda,10,pirelli,22
1:21.891,alpine,renault,+0.077,+2.063,26,esteban-ocon,11,pirelli,31
1:21.920,aston-martin,mercedes,+0.029,+2.092,23,lance-stroll,12,pirelli,18
1:21.975,alfa-romeo,ferrari,+0.055,+2.147,20,robert-kubica,13,pirelli,88
1:22.089,haas,ferrari,+0.114,+2.261,16,kevin-magnussen,14,pirelli,20
1:22.146,haas,ferrari,+0.057,+2.318,21,mick-schumacher,15,pirelli,47
1:22.164,aston-martin,mercedes,+0.018,+2.336,20,sebastian-vettel,16,pirelli,5
1:22.614,alfa-romeo,ferrari,+0.450,+2.786,25,valtteri-bottas,17,pirelli,77
1:22.920,williams,mercedes,+0.306,+3.092,28,nyck-de-vries,18,pirelli,45
1:23.011,williams,mercedes,+0.091,+3.183,27,nicholas-latifi,19,pirelli,6
1:24.138,red-bull,rbpt,+1.127,+4.310,23,juri-vips,20,pirelli,36
