engineManufacturerId,constructorId,position,points
mercedes,mercedes,1,141
honda,red-bull,2,112
mercedes,mclaren,3,65
ferrari,ferrari,4,60
renault,alpine,5,15
honda,alphatauri,6,10
mercedes,aston-martin,7,5
ferrari,alfa-romeo,8,0
mercedes,williams,9,0
ferrari,haas,10,0
