time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:11.500,mercedes,mercedes,,,17,lewis-hamilton,1,pirelli,44
1:11.597,red-bull,honda,+0.097,+0.097,18,max-verstappen,2,pirelli,33
1:11.601,ferrari,ferrari,+0.004,+0.101,19,carlos-sainz-jr,3,pirelli,55
1:11.623,ferrari,ferrari,+0.022,+0.123,18,charles-leclerc,4,pirelli,16
1:11.738,mercedes,mercedes,+0.115,+0.238,18,valtteri-bottas,5,pirelli,77
1:12.158,alpine,renault,+0.420,+0.658,18,fernando-alonso,6,pirelli,14
1:12.231,alpine,renault,+0.073,+0.731,17,esteban-ocon,7,pirelli,31
1:12.359,alfa-romeo,ferrari,+0.128,+0.859,18,antonio-giovinazzi,8,pirelli,99
1:12.431,aston-martin,mercedes,+0.072,+0.931,18,lance-stroll,9,pirelli,18
1:12.515,alphatauri,honda,+0.084,+1.015,19,pierre-gasly,10,pirelli,10
1:12.679,mclaren,mercedes,+0.164,+1.179,18,lando-norris,11,pirelli,4
1:12.907,williams,mercedes,+0.228,+1.407,16,nicholas-latifi,12,pirelli,6
1:13.053,alfa-romeo,ferrari,+0.146,+1.553,20,kimi-raikkonen,13,pirelli,7
1:13.081,mclaren,mercedes,+0.028,+1.581,18,daniel-ricciardo,14,pirelli,3
1:13.181,williams,mercedes,+0.100,+1.681,15,george-russell,15,pirelli,63
1:13.328,red-bull,honda,+0.147,+1.828,18,sergio-perez,16,pirelli,11
1:13.516,haas,ferrari,+0.188,+2.016,14,nikita-mazepin,17,pirelli,9
1:13.847,haas,ferrari,+0.331,+2.347,17,mick-schumacher,18,pirelli,47
1:15.984,aston-martin,mercedes,+2.137,+4.484,6,sebastian-vettel,19,pirelli,5
,alphatauri,honda,,,3,yuki-tsunoda,20,pirelli,22
