time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:08.885,red-bull,honda,,max-verstappen,1,pirelli,33
1:08.923,mercedes,mercedes,,lewis-hamilton,2,pirelli,44
1:09.222,mercedes,mercedes,,valtteri-bottas,3,pirelli,77
1:09.478,alphatauri,honda,,pierre-gasly,4,pirelli,10
1:09.527,ferrari,ferrari,,charles-leclerc,5,pirelli,16
1:09.537,ferrari,ferrari,,carlos-sainz-jr,6,pirelli,55
1:09.590,alfa-romeo,ferrari,,antonio-giovinazzi,7,pirelli,99
1:09.933,alpine,renault,,esteban-ocon,8,pirelli,31
1:09.956,alpine,renault,,fernando-alonso,9,pirelli,14
1:10.166,mclaren,mercedes,,daniel-ricciardo,10,pirelli,3
1:10.332,williams,mercedes,,george-russell,11,pirelli,63
1:10.367,aston-martin,mercedes,,lance-stroll,12,pirelli,18
1:10.406,mclaren,mercedes,,lando-norris,13,pirelli,4
1:11.314,alphatauri,honda,,yuki-tsunoda,14,pirelli,22
1:10.731,aston-martin,mercedes,,sebastian-vettel,15,pirelli,5
1:11.301,alfa-romeo,ferrari,,robert-kubica,16,pirelli,88
1:11.387,haas,ferrari,,mick-schumacher,17,pirelli,47
1:11.875,haas,ferrari,,nikita-mazepin,18,pirelli,9
1:10.530,red-bull,honda,SFB,sergio-perez,PL,pirelli,11
1:11.161,williams,mercedes,5,nicholas-latifi,PL,pirelli,6
