engineManufacturerId,constructorId,position,points
mercedes,mercedes,1,613.5
honda,red-bull,2,585.5
ferrari,ferrari,3,323.5
mercedes,mclaren,4,275
renault,alpine,5,155
honda,alphatauri,6,142
mercedes,aston-martin,7,77
mercedes,williams,8,23
ferrari,alfa-romeo,9,13
ferrari,haas,10,0
